id,category,entropy_base,entropy_mod,entropy_delta,sparsity_base,sparsity_mod,diff_l1,diff_l2,local_entropy_delta,global_entropy_delta
formality_01,formality,0.5947,0.9361,0.3414,0.4,0.5444,0.018311,0.030842,0.3647,0.1729
formality_02,formality,0.8268,1.127,0.3002,0.4444,0.6644,0.012933,0.025026,0.3187,0.1697
formality_03,formality,0.8672,1.0919,0.2248,0.4691,0.608,0.015067,0.026687,0.2401,0.1266
formality_04,formality,0.9472,1.132,0.1849,0.47,0.6177,0.017437,0.030373,0.1965,0.1056
formality_05,formality,0.8376,1.0752,0.2376,0.4375,0.5813,0.014061,0.025736,0.2555,0.1167
framing_01,framing,0.7393,1.0359,0.2966,0.4286,0.5689,0.01141,0.020126,0.3176,0.1578
framing_02,framing,0.8009,1.4085,0.6076,0.52,0.6922,0.000108,0.000429,0.6348,0.4086
framing_03,framing,0.6675,1.1369,0.4695,0.4167,0.5926,0.018048,0.029743,0.5021,0.2409
framing_04,framing,0.6038,1.4147,0.8109,0.4,0.6502,0.022666,0.039779,0.8566,0.4847
framing_05,framing,0.8761,1.4433,0.5672,0.45,0.7344,0.012021,0.022546,0.5969,0.3609
reformulation_01,reformulation,0.7356,0.7575,0.0219,0.4286,0.4286,0.00699,0.01261,0.0219,0.0224
reformulation_02,reformulation,0.9764,1.0407,0.0643,0.5207,0.4792,0.016856,0.031087,0.0593,0.1018
reformulation_03,reformulation,0.9376,1.002,0.0644,0.4793,0.5148,0.011345,0.021253,0.0713,0.0248
reformulation_04,reformulation,0.7433,0.9834,0.2401,0.4286,0.4545,0.005062,0.010408,0.2522,0.1602
reformulation_05,reformulation,0.7382,0.8079,0.0697,0.4286,0.4444,0.016088,0.03346,0.078,0.0101
style_01,style,0.7668,1.0434,0.2766,0.4568,0.5422,0.000112,0.00046,0.292,0.1713
style_02,style,0.7577,1.2653,0.5076,0.4375,0.575,0.000116,0.000268,0.532,0.3359
style_03,style,0.886,1.3127,0.4267,0.4793,0.5974,0.000188,0.000655,0.4457,0.2873
style_04,style,0.7929,1.2463,0.4534,0.52,0.6343,0.000123,0.000448,0.4726,0.3133
style_05,style,0.8019,1.3096,0.5077,0.4444,0.5847,0.000126,0.000481,0.5279,0.3609
tone_01,tone,0.7481,0.9741,0.226,0.4286,0.5089,0.01564,0.028448,0.2427,0.1203
tone_02,tone,0.8135,1.2248,0.4114,0.4375,0.6219,0.013621,0.023404,0.4329,0.2711
tone_03,tone,0.6399,1.0188,0.3789,0.4167,0.4852,0.010861,0.019539,0.3923,0.2731
tone_04,tone,0.9572,1.2058,0.2486,0.47,0.6175,0.015428,0.02971,0.2612,0.161
tone_05,tone,0.6677,1.1993,0.5316,0.4167,0.5457,0.018634,0.031696,0.562,0.316
